"list_name","name","label","DISTRICT","PROPERTY","VEG_LIST"
"PROPERTY","Adder","Adder","Barkly","",""
"PROPERTY","Alroy_Downs","Alroy Downs","Barkly","",""
"PROPERTY","Austral_Downs","Austral Downs","Barkly","",""
"PROPERTY","Anthony_Lagoon","Anthony Lagoon","Barkly","",""
"PROPERTY","Avon_Downs","Avon Downs","Barkly","",""
"PROPERTY","Alexandria","Alexandria","Barkly","",""
"PROPERTY","Brunchilly","Brunchilly","Barkly","",""
"PROPERTY","Banka_Banka_East","Banka Banka East","Barkly","",""
"PROPERTY","Banka_Banka_West","Banka Banka West","Barkly","",""
"PROPERTY","Benmara","Benmara","Barkly","",""
"PROPERTY","Brunette_Downs","Brunette Downs","Barkly","",""
"PROPERTY","Burramurra","Burramurra","Barkly","",""
"PROPERTY","Beetaloo","Beetaloo","Barkly","",""
"PROPERTY","Cresswell_Downs","Cresswell Downs","Barkly","",""
"PROPERTY","Dalmore_Downs","Dalmore Downs","Barkly","",""
"PROPERTY","East_Ranken","East Ranken","Barkly","",""
"PROPERTY","Eva_Downs","Eva Downs","Barkly","",""
"PROPERTY","Georgina_Downs","Georgina Downs","Barkly","",""
"PROPERTY","Helen_Springs","Helen Springs","Barkly","",""
"PROPERTY","Lake_Nash","Lake Nash","Barkly","",""
"PROPERTY","Mount_Drummond","Mount Drummond","Barkly","",""
"PROPERTY","Mungabroom","Mungabroom","Barkly","",""
"PROPERTY","Mittiebah","Mittiebah","Barkly","",""
"PROPERTY","Newcastle_Waters","Newcastle Waters","Barkly","",""
"PROPERTY","Powell_Creek","Powell Creek","Barkly","",""
"PROPERTY","Rockhampton_Downs","Rockhampton Downs","Barkly","",""
"PROPERTY","Rocklands","Rocklands","Barkly","",""
"PROPERTY","Soudan","Soudan","Barkly","",""
"PROPERTY","Tandyidgee","Tandyidgee","Barkly","",""
"PROPERTY","Ucharonidge","Ucharonidge","Barkly","",""
"PROPERTY","Walhallow","Walhallow","Barkly","",""
"PROPERTY","West_Ranken","West Ranken","Barkly","",""
"PROPERTY","B_property_outside","Property not in list","Barkly","",""
"PROPERTY","Ban_Ban_Springs","Ban Ban Springs","Darwin","",""
"PROPERTY","Bridge_Creek","Bridge Creek","Darwin","",""
"PROPERTY","Bonrook","Bonrook","Darwin","",""
"PROPERTY","Claravale","Claravale","Darwin","",""
"PROPERTY","Douglas","Douglas","Darwin","",""
"PROPERTY","Douglas_South","Douglas South","Darwin","",""
"PROPERTY","Douglas_West","Douglas West","Darwin","",""
"PROPERTY","Dorisvale","Dorisvale","Darwin","",""
"PROPERTY","Elizabeth_Downs","Elizabeth Downs","Darwin","",""
"PROPERTY","Jindare","Jindare","Darwin","",""
"PROPERTY","Koolpinyah","Koolpinyah","Darwin","",""
"PROPERTY","La_Belle_Downs","La Belle Downs","Darwin","",""
"PROPERTY","Litchfield","Litchfield","Darwin","",""
"PROPERTY","Marrakai","Marrakai","Darwin","",""
"PROPERTY","Mount_Keppler","Mount Keppler","Darwin","",""
"PROPERTY","McKinlay_River","McKinlay River","Darwin","",""
"PROPERTY","Mary_River_East","Mary River East","Darwin","",""
"PROPERTY","Mount_Ringwood","Mount Ringwood","Darwin","",""
"PROPERTY","Mary_River_West","Mary River West","Darwin","",""
"PROPERTY","Old_Mount_Bundey","Old Mount Bundey","Darwin","",""
"PROPERTY","Tipperary","Tipperary","Darwin","",""
"PROPERTY","Welltree","Welltree","Darwin","",""
"PROPERTY","Woolner","Woolner","Darwin","",""
"PROPERTY","D_property_outside","Property not in list","Darwin","",""
"PROPERTY","Amungee_Mungee","Amungee Mungee","Gulf","",""
"PROPERTY","Broadmere","Broadmere","Gulf","",""
"PROPERTY","Calvert_Hills","Calvert Hills","Gulf","",""
"PROPERTY","Greenbank","Greenbank","Gulf","",""
"PROPERTY","Hodgson_River","Hodgson River","Gulf","",""
"PROPERTY","Kiana_Station","Kiana Station","Gulf","",""
"PROPERTY","Lorella","Lorella","Gulf","",""
"PROPERTY","McArthur_River","McArthur River","Gulf","",""
"PROPERTY","Mallapunyah","Mallapunyah","Gulf","",""
"PROPERTY","Manangoora","Manangoora","Gulf","",""
"PROPERTY","Nutwood_Downs","Nutwood Downs","Gulf","",""
"PROPERTY","Pungalina","Pungalina","Gulf","",""
"PROPERTY","Spring_Creek","Spring Creek","Gulf","",""
"PROPERTY","Seven_Emu","Seven Emu","Gulf","",""
"PROPERTY","Tanumbirini","Tanumbirini","Gulf","",""
"PROPERTY","Wollogorang","Wollogorang","Gulf","",""
"PROPERTY","G_property_outside","Property not in list","Gulf","",""
"PROPERTY","Aroona","Aroona","Katherine","",""
"PROPERTY","Dixie","Dixie","Katherine","",""
"PROPERTY","Florina","Florina","Katherine","",""
"PROPERTY","Katherine_Downs","Katherine Downs","Katherine","",""
"PROPERTY","Manbulloo","Manbulloo","Katherine","",""
"PROPERTY","Mathison","Mathison","Katherine","",""
"PROPERTY","Scott_Creek","Scott Creek","Katherine","",""
"PROPERTY","Stapleton","Stapleton","Katherine","",""
"PROPERTY","Willeroo","Willeroo","Katherine","",""
"PROPERTY","K_property_outside","Property not in list","Katherine","",""
"PROPERTY","Ambalindum","Ambalindum","Northern_Alice_Springs","",""
"PROPERTY","Aileron","Aileron","Northern_Alice_Springs","",""
"PROPERTY","Amburla","Amburla","Northern_Alice_Springs","",""
"PROPERTY","Anningie","Anningie","Northern_Alice_Springs","",""
"PROPERTY","Bond_Springs","Bond Springs","Northern_Alice_Springs","",""
"PROPERTY","Bushy_Park","Bushy Park","Northern_Alice_Springs","",""
"PROPERTY","Coniston","Coniston","Northern_Alice_Springs","",""
"PROPERTY","Delny","Delny","Northern_Alice_Springs","",""
"PROPERTY","Delmore_Downs","Delmore Downs","Northern_Alice_Springs","",""
"PROPERTY","Dneiper","Dneiper","Northern_Alice_Springs","",""
"PROPERTY","Derwent","Derwent","Northern_Alice_Springs","",""
"PROPERTY","Glen_Helen","Glen Helen","Northern_Alice_Springs","",""
"PROPERTY","Hamilton_Downs","Hamilton Downs","Northern_Alice_Springs","",""
"PROPERTY","MacDonald_Downs","MacDonald Downs","Northern_Alice_Springs","",""
"PROPERTY","Mount_Denison","Mount Denison","Northern_Alice_Springs","",""
"PROPERTY","Mount_Doreen","Mount Doreen","Northern_Alice_Springs","",""
"PROPERTY","Mount_Riddock","Mount Riddock","Northern_Alice_Springs","",""
"PROPERTY","Mount_Skinner","Mount Skinner","Northern_Alice_Springs","",""
"PROPERTY","Newhaven","Newhaven","Northern_Alice_Springs","",""
"PROPERTY","Napperby","Napperby","Northern_Alice_Springs","",""
"PROPERTY","Neutral_Junction","Neutral Junction","Northern_Alice_Springs","",""
"PROPERTY","Narwietooma","Narwietooma","Northern_Alice_Springs","",""
"PROPERTY","Old_MacDonald_Downs","Old MacDonald Downs","Northern_Alice_Springs","",""
"PROPERTY","Pine_Hill","Pine Hill","Northern_Alice_Springs","",""
"PROPERTY","Stirling","Stirling","Northern_Alice_Springs","",""
"PROPERTY","The_Garden","The Garden","Northern_Alice_Springs","",""
"PROPERTY","Woodgreen","Woodgreen","Northern_Alice_Springs","",""
"PROPERTY","Yambah","Yambah","Northern_Alice_Springs","",""
"PROPERTY","NAS_property_outside","Property not in list","Northern_Alice_Springs","",""
"PROPERTY","Ammaroo","Ammaroo","Plenty","",""
"PROPERTY","Arapunya","Arapunya","Plenty","",""
"PROPERTY","Argadargada","Argadargada","Plenty","",""
"PROPERTY","Derry_Downs","Derry Downs","Plenty","",""
"PROPERTY","Huckitta","Huckitta","Plenty","",""
"PROPERTY","Indiana","Indiana","Plenty","",""
"PROPERTY","Jinka","Jinka","Plenty","",""
"PROPERTY","Jervois","Jervois","Plenty","",""
