LANDSYSTEM-KEY,COMP-ID,LS_DESCRIPTION
Abner,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Acacia,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Adnera,SOUTH-1M,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Aileron,SOUTH-1M,"low hills and hills mostly on granite, gneiss, rhyolite and some schist; common rock outcrop and surface stone with shallow gritty or stony soils"
Alaru,NORTH-250,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Alcoota,SOUTH-1M,"gently undulating to undulating plains with rises and low hills on granite, schist, gneiss (deeply weathered in places); coarse grained sandy, earthy and texture contrast soils"
Alinga,SOUTH-1M,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Aliu,NORTH-250,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Allua,SOUTH-1M,dissected hills on Cambrian limestone and dolomite; shallow soils with rock outcrop
Amadeus,SOUTH-1M,salt pans with waterlogged saline clays and fringing dunes
Ambalindum,SOUTH-1M,"plains, rises and plateaux on weathered and unweathered Cambrian limestone, dolomite, chalcedony, shale, sandstone and siltstone with associated sand sheets; sandy and earth soils"
Amhurst,NORTH-250,steep rocky plateaux and hills on quartz sandstone and sandstone; shallow sandy soils and rock outcrop
Ammaroo,SOUTH-1M,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Amulda,SOUTH-1M,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Anderinda,SOUTH-1M,"gently undulating to undulating plains with rises and low hills on granite, schist, gneiss (deeply weathered in places); coarse grained sandy, earthy and texture contrast soils"
Angallari,SOUTH-1M,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Angallari1,NORTH-250,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Angallari2,NORTH-250,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Angallari-braided,NORTH-250,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Angallari1,NORTH-250,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Angallari2,NORTH-250,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Angallari-braided,NORTH-250,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Angallari-plains,NORTH-250,"alluvial floodplains, swamps, drainage depressions and alluvial fans; sandy, silty and clay soils on Quaternary alluvium"
Angallari-sandplain,NORTH-250,plains and rises associated with deeply weathered profiles (laterite) including sand sheets and other depositional products; sandy and earth soils
Angas,SOUTH-1M,level to undulating sandplains with red sands
Annie-Creek,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
Annie-Creek,NORTH-250,"plains, rises and plateaux on mostly on sandstone, siltstone, claystone, shale and some limestone; commonly shallow soils with surface stone and rock outcrop"
