,list_name,name,label,,no colon
0,FB_COMP,Abelmoschus-ficulneaus,Abelmoschus ficulneaus - Native Rosella,,12
1,FB_COMP,Abelmoschus-ficulneus,Abelmoschus ficulneus - Native Rosella,,12
2,FB_COMP,Abutilon-hannii,Abutilon hannii - Mallow,,9
3,FB_COMP,Abutilon-leucopetalum,Abutilon leucopetalum - Lantern Bush,,9
4,FB_COMP,Abutilon-otocarpum,Abutilon otocarpum - Desert Chinese Lantern,,9
5,FB_COMP,Abutilon-otocarpus,Abutilon otocarpus - Desert Chinese Lantern,,9
6,FB_COMP,Abutilon-sp.,Abutilon sp. - Abutilon,,9
7,FB_COMP,Achyranthes-aspera,Achyranthes aspera - Chaff Flower,,12
8,FB_COMP,Aerva-javanica,Aerva javanica - Kapok Bush,,6
9,FB_COMP,Aeschynomene-indica,Aeschynomene indica - Budda Pea,,13
10,FB_COMP,Alternanthera-nodiflora,Alternanthera nodiflora - Common Joyweed,,14
11,FB_COMP,Aluta-maisonneuvei-subsp.-maisonneuvei,Aluta maisonneuvei subsp. maisonneuvei - Aluta maisonneuvei subsp. Maisonneuvei,,6
12,FB_COMP,Ammannia-multiflora,Ammannia multiflora - Jerry Jerry,,9
13,FB_COMP,Arabidella-glaucescens,Arabidella glaucescens - Arabidella,,11
14,FB_COMP,Aster-sp.,Aster sp. - Aster,,6
15,FB_COMP,Bergia-perennis,Bergia perennis - Desert Mat,,7
16,FB_COMP,Blennodia-canescens,Blennodia canescens - Native Stock,,10
17,FB_COMP,Blumea-diffusa,Blumea diffusa - Blumea,,7
18,FB_COMP,Blumea-tenella,Blumea tenella - Blumea,,7
19,FB_COMP,Boerhavia-coccinea,Boerhavia coccinea - Scarlet Spiderling,,10
20,FB_COMP,Boerhavia-diffusa,Boerhavia diffusa - Tar Vine,,10
21,FB_COMP,Boerhavia-paludosa,Boerhavia paludosa - Black Soil Tar Vine,,10
22,FB_COMP,Boerhavia-schomburgkiana,Boerhavia schomburgkiana - Tar Vine,,10
23,FB_COMP,Boerhavia-sp.,Boerhavia sp - Tarvine,,10
24,FB_COMP,Bonamia-media,Bonamia media - Common Bonamia,,8
25,FB_COMP,Bonamia-pannosa,Bonamia pannosa - Large Bonamia,,8
26,FB_COMP,Brachyscome-sp.,Brachyscome sp. - Daisy,,12
27,FB_COMP,Brachyscome-ciliaris,"Brachyscome ciliaris - Brachyscome, Variable Daisy",,12
28,FB_COMP,Brachyscome-ciliaris-var.-lanuginosa,Brachyscome ciliaris var. lanuginosa - Brachyscome Ciliaris Var. Lanuginosa,,12
29,FB_COMP,Bulbostylis-barbata,Bulbostylis barbata - Dainty Sedge,,12
30,FB_COMP,Calandrinia-balonensis,Calandrinia balonensis - Broad-Leaf Parrakeelya,,12
31,FB_COMP,Calandrinia-disperma,Calandrinia disperma - Calandrinia,,12
32,FB_COMP,Calandrinia-sp.,Calandrinia sp. - Parakeelya,,12
33,FB_COMP,Calandrinia-reticulata,Calandrinia reticulata - Calandrinia Reticulata,,12
34,FB_COMP,Calocephalus-platycephalus,Calocephalus platycephalus - Yellow Billy Buttons,,13
35,FB_COMP,Calotis-hispidula,Calotis hispidula - Bogan Flea,,8
36,FB_COMP,Chamaecrista-rotundifolia,Chamaecrista rotundifolia - Wynn Cassia,,13
37,FB_COMP,Cheilanthes-lasiophylla,Cheilanthes lasiophylla - Woolly Cloak Fren,,12
38,FB_COMP,Cheilanthes-seiberi,Cheilanthes seiberi - Mulga Fern,,12
39,FB_COMP,Chenopodium-auricomum,Chenopodium auricomum - Northern Bluebush,,12
40,FB_COMP,Chrysocephalum-apiculatum,Chrysocephalum apiculatum - Common Everlasting,,15
41,FB_COMP,Chthonocephalus-pseudevax,"Chthonocephalus pseudevax - Chthonocephalus, Ground-Heads",,16
42,FB_COMP,Citrullus-lanatus,Citrullus lanatus - Wild Melon,,10
43,FB_COMP,Citrullus-sp.,Citrullus sp. - Melon,,10
44,FB_COMP,Cleome-viscosa,Cleome viscosa - Tickweed,,7
45,FB_COMP,Clitorea-ternatea,Clitorea ternatea - Blue Pea,,9
46,FB_COMP,Coldenia-procumbens,Coldenia procumbens - Coldenia,,9
47,FB_COMP,Commelina-ensifolia,Commelina ensifolia - Wandering Jew,,10
48,FB_COMP,Commelina-lanceolata,Commelina lanceolata - Wandering Jew,,10
49,FB_COMP,Convolvulus-clementii,Convolvulus clementii - Bindweed,,12
50,FB_COMP,Convolvulus-remotus,Convolvulus remotus - Convolvulus Remotus,,12
51,FB_COMP,Convolvulus-sp.,Convolvulus sp. - Australian Bindweed,,12
52,FB_COMP,Corchorus-sidoides,Corchorus sidoides - Flannel Jute,,10
53,FB_COMP,Corchorus-sp.,Corchorus sp. - Jute,,10
54,FB_COMP,Cressa-cretica,Cressa cretica - Rosinweed,,7
55,FB_COMP,Crotalaria-crispata,Crotalaria crispata - Kimberley Horse Poison,,11
56,FB_COMP,Crotalaria-dissitiflora,Crotalaria dissitiflora - Grey Rattlepod,,11
57,FB_COMP,Crotalaria-eremaea-subsp.-eremaea,"Crotalaria eremaea subsp. eremaea - Crotalaria, Desert Rattlepod, Rattlepod",,11
58,FB_COMP,Crotalaria-medicaginea,Crotalaria medicaginea - Trefoil Rattlepod,,11
59,FB_COMP,Crotalaria-medicaginea-var.-indeterminate,Crotalaria medicaginea var. indeterminate - Crotalaria medicaginea var. indeterminate,,11
60,FB_COMP,Crotalaria-montana,Crotalaria montana - Rattlepod,,11
61,FB_COMP,Crotalaria-novae-hollandiae,Crotalaria novae-hollandiae - New Holland Rattlepod,,11
62,FB_COMP,Crotalaria-sp.,Crotalaria sp. - Crotalaria,,11
63,FB_COMP,Cucumis-melo,Cucumis melo - Bush Cucumber,,8
64,FB_COMP,Cullen-australasicum,Cullen australasicum - Tall Verbine,,7
65,FB_COMP,Cullen-cinereum,Cullen cinereum - Annual Verbine,,7
66,FB_COMP,Cyperus-bifax,Cyperus bifax - Downs Nutgrass,,8
67,FB_COMP,Cyperus-sp.,Cyperus sp. - Sedge,,8
69,FB_COMP,Datura-ferox,Datura ferox - Thornapple,,7
70,FB_COMP,Desmodium-muelleri,Desmodium muelleri - Mueller's Necklace Pea,,10
71,FB_COMP,Dissocarpus-paradoxus,Dissocarpus paradoxus - Cannonball Burr,,12
72,FB_COMP,Dodonaea-viscosa-subsp.-angustissima,Dodonaea viscosa subsp. angustissima - Sticky Hopbush,,9
73,FB_COMP,Dysphania-melanocarpa,Dysphania melanocarpa - Black Crumbweed,,10
74,FB_COMP,Ehretia-saligna,Ehretia saligna - Coonta,,8
75,FB_COMP,Einadia-nutans,Einadia nutans - Climbing Saltbush,,8
76,FB_COMP,Eremophea-spinosa,Eremophea spinosa - Eremophea spinosa,,10
77,FB_COMP,Erodium-angustilobum,Erodium angustilobum - Erodium,,8
78,FB_COMP,Erodium-cygnorum,Erodium cygnorum - Blue Crowfoot,,8
80,FB_COMP,Euphorbia-sp.,Euphorbia sp. - Euphorbia,,10
83,FB_COMP,Euphorbia-drummondii,Euphorbia drummondii - Caustic Weed,,10
81,FB_COMP,Euphorbia-tannensis,Euphorbia tannensis - Desert Spurge,,10
82,FB_COMP,Euphorbia-tannensis-subsp.-Eremophila,Euphorbia tannensis subsp. Eremophila - Desert Spurge,,10
85,FB_COMP,Evolvulus-alsinoides,Evolvulus alsinoides - Dwarf Morning Glory,,10
86,FB_COMP,Evolvulus-alsinoides-var.-indeterminate,Evolvulus alsinoides var. indeterminate - Tropical Speedwell,,10
