,list_name,name,label
0,PG_COMP,Amphipogon-caricinus,Amphipogon caricinus - Long Greybeard Grass
1,PG_COMP,Andropogon-gayanus,Andropogon gayanus - Gamba Grass
2,PG_COMP,Aristida-biglandulosa,Aristida biglandulosa - Two Gland Three Awn
3,PG_COMP,Aristida-contorta,Aristida contorta - Bunched Kerosene Grass
4,PG_COMP,Aristida-exserta,Aristida exserta - Aristida Exserta
5,PG_COMP,Aristida-holathera,Aristida holathera - Erect Kerosene Grass
6,PG_COMP,Aristida-hygrometrica,Aristida hygrometrica - Northern Kerosene Grass
7,PG_COMP,Aristida-inaequiglumis,Aristida inaequiglumis - Curly Wiregrass (Unequal Threeawn)
8,PG_COMP,Aristida-ingrata,Aristida ingrata - Equal Three-Awn
9,PG_COMP,Aristida-latifolia,Aristida latifolia - Feathertop Wiregrass
10,PG_COMP,Aristida-pruinosa,Aristida pruinosa - Gulf Wiregrass
11,PG_COMP,Aristida-strigosa,Aristida strigosa - Rough Threeawn (Rough Wiregrass)
12,PG_COMP,Astrebla-pectinata,Astrebla pectinata - Barley Mitchell Grass
13,PG_COMP,Bothriochloa-pertusa,Bothriochloa pertusa - Indian Bluegrass
14,PG_COMP,Chionachne-cyathopoda,Chionachne cyathopoda - River Grass
15,PG_COMP,Chloris-barbata,Chloris barbata - Purpletop Rhodes Grass
16,PG_COMP,Chrysopogon-elongatus,Chrysopogon elongatus - Tall Tamil Grass
17,PG_COMP,Chrysopogon-setifolius,Chrysopogon setifolius - Spiky Grass
18,PG_COMP,Cymbopogon-ambiguus,Cymbopogon ambiguus - Lemon Scented Grass
19,PG_COMP,Cymbopogon-bombycinus,Cymbopogon bombycinus - Silky Oilgrass
20,PG_COMP,Cymbopogon-obtectus,Cymbopogon obtectus - Silkyheads
21,PG_COMP,Cymbopogon-procerus,Cymbopogon procerus - Lemon Grass
22,PG_COMP,Cynodon-dactylon,Cynodon dactylon - Couch Grass
24,PG_COMP,Digitaria-coenicola,Digitaria coenicola - Finger Panic Grass
25,PG_COMP,Digitaria-sp.,Digitaria sp. - Digitaria
26,PG_COMP,Dinebra-neesii,Dinebra neesii - Swamp Grass
27,PG_COMP,Enneapogon-avenaceus,Enneapogon avenaceus - Oatgrass
28,PG_COMP,Enneapogon-cylindricus,Enneapogon cylindricus - Limestone Oat Grass
29,PG_COMP,Enneapogon-glaber,Enneapogon glaber - Hairless Nineawn
30,PG_COMP,Enneapogon-oblongus,Enneapogon oblongus - Prupe-Head Nineawn
31,PG_COMP,Enneapogon-polyphyllus,Enneapogon polyphyllus - Woolly Oat (Leafy Nine Awn)
32,PG_COMP,Enneapogon-sp.,Enneapogon sp. - Nineawns
33,PG_COMP,Enteropogon-acicularis,Enteropogon acicularis - Curly Windmill Grass
34,PG_COMP,Enteropogon-ramosus,Enteropogon ramosus - Twirly Windmill Grass
35,PG_COMP,Eragrostis-sp.,Eragrostis-sp. - Lovegrass
36,PG_COMP,Eragrostis-basedowii,Eragrostis basedowii - Clustered Lovegrass
37,PG_COMP,Eragrostis-desertorum,Eragrostis desertorum - Desert Lovegrass
38,PG_COMP,Eragrostis-elongata,Eragrostis elongata - Clustered Lovegrass
39,PG_COMP,Eragrostis-eriopoda,Eragrostis eriopoda - Woollybutt Grass
40,PG_COMP,Eragrostis-falcata,Eragrostis falcata - Sickle Lovegrass
41,PG_COMP,Eragrostis-laniflora,Eragrostis laniflora - Hairy-Flowered Woollybutt
42,PG_COMP,Eragrostis-leptocarpa,Eragrostis leptocarpa - Drooping Lovegrass
43,PG_COMP,Eragrostis-setifolia,Eragrostis setifolia - Narrow Leaf Neverfail
44,PG_COMP,Eragrostis-sp.,Eragrostis sp. - Lovegrass
45,PG_COMP,Eragrostis-tenellula,Eragrostis tenellula - Delicate Lovegrass
46,PG_COMP,Eragrostis-xerophila,Eragrostis xerophila - Broad Leaf (Knottybutt) Neverfail
47,PG_COMP,Eriachne-sp.,Eriachne-sp. - Lovegrass
48,PG_COMP,Eriachne-glauca,Eriachne glauca - Pan Wanderrie
53,PG_COMP,Eriachne-helmsii,Eriachne helmsii - Woollybutt Wanderrie Grass
49,PG_COMP,Eriachne-mucronata,Eriachne mucronata - Mountain Wanderie
50,PG_COMP,Eriachne-nervosa,Eriachne nervosa - Plains Wanderrie
51,PG_COMP,Eriachne-obtusa,Eriachne obtusa - Northern Wanderrie
52,PG_COMP,Eriachne-sp.,Eriachne sp. - Wanderrie
54,PG_COMP,Eriachne-sp.,Eriachne sp. - Wanderrie
55,PG_COMP,Fimbristylis-dichotoma,Fimbristylis dichotoma - Eight Day Grass
56,PG_COMP,Heteropogon-contortus,Heteropogon contortus - Black Spear Grass
57,PG_COMP,Heteropogon-triticeus,Heteropogon triticeus - Giant Spear Grass
58,PG_COMP,Heteropogon-triticius,Heteropogon triticius - Giant Speargrass
59,PG_COMP,Hymenachne-acutigluma,Hymenachne acutigluma - Native Hymenachne
60,PG_COMP,Imperata-cylindrica,Imperata cylindrica - Blady Grass
61,PG_COMP,Leptochloa-digitata,Leptochloa digitata - Umbrella Cane Grass
62,PG_COMP,Leptochloa-fusca,Leptochloa fusca - Beetle Grass
63,PG_COMP,Melinis-repens,Melinis repens - Red Natal Grass
64,PG_COMP,Mnesithea-formosa,Mnesithea formosa - Silkytop Grass
65,PG_COMP,Mnesithea-rottboellioides,Mnesithea rottboellioides - Northern Cane Grass
66,PG_COMP,Ophiuros-exaltatus,Ophiuros exaltatus - Cane Grass
67,PG_COMP,Oryza-australiensis,Oryza australiensis - Australian Wild Rice
68,PG_COMP,Panicum-decompositum,Panicum decompositum - Native Millet
69,PG_COMP,Panicum-effusum,Panicum effusum - Hairy Panic
70,PG_COMP,Panicum-laevinode,Panicum laevinode - Pepper Grass
71,PG_COMP,Paraneurachne-muelleri,Paraneurachne muelleri - Northern Mulga Grass
73,PG_COMP,Paspalidium-rarum,Paspalidium rarum - Bunch Paspalidium
74,PG_COMP,Pennisetum-polystachion,Pennisetum polystachion - Mission Grass
76,PG_COMP,Perotis-rara,Perotis rara - Comet Grass
77,PG_COMP,Pseudoraphis-spinescens,Pseudoraphis spinescens - Swamp Grass
78,PG_COMP,Sehima-nervosum,Sehima nervosum - White Grass
79,PG_COMP,Sporobolus-actinocladus,Sporobolus actinocladus - Katoora
80,PG_COMP,Sporobolus-viginicus,Sporobolus viginicus - Marine Couch
81,PG_COMP,Themeda-avenacea,Themeda avenacea - Native Oatgrass
83,PG_COMP,Thyridolepis-mitchelliana,Thyridolepis mitchelliana - Mulga Mitchell Grass
84,PG_COMP,Triodia-basedowii,Triodia basedowii - Hard Spinifex
