,list_name,name,label
0,PG_NORTH,Alloteropsis-semialata,Alloteropsis semialata - Cockatoo Grass
1,PG_NORTH,Andropogon-gayanus,Andropogon gayanus - Gamba Grass
2,PG_NORTH,Aristida-contorta,Aristida contorta - Bunched Kerosene Grass
3,PG_NORTH,Aristida-holathera,Aristida holathera - Erect Kerosene Grass
4,PG_NORTH,Aristida-hygrometrica,Aristida hygrometrica - Kerosene Grass
5,PG_NORTH,Aristida-inaequiglumis,Aristida inaequiglumis - Unequal Three-Awn
6,PG_NORTH,Aristida-ingrata,Aristida ingrata - Equal Three-Awn
7,PG_NORTH,Aristida-latifolia,Aristida latifolia - Feathertop
8,PG_NORTH,Aristida-pruinosa,Aristida pruinosa - Gulf Wiregrass
9,PG_NORTH,Astrebla-elymoides,Astrebla elymoides - Hoop Mitchell Grass
10,PG_NORTH,Astrebla-lappacea,Astrebla lappacea - Curly Mitchell Grass
11,PG_NORTH,Astrebla-pectinata,Astrebla pectinata - Barley Mitchell Grass
12,PG_NORTH,Astrebla-squarrosa,Astrebla squarrosa - Bull Mitchell Grass
13,PG_NORTH,Bothriochloa-bladhii,Bothriochloa bladhii - Forest Bluegrass
14,PG_NORTH,Bothriochloa-ewartiana,Bothriochloa ewartiana - Desert Bluegrass
15,PG_NORTH,Bothriochloa-pertusa,Bothriochloa pertusa - Indian Bluegrass
16,PG_NORTH,Brachiaria-mutica,Brachiaria mutica - Para Grass
17,PG_NORTH,Cenchrus-ciliaris,Cenchrus ciliaris - Buffel Grass
18,PG_NORTH,Cenchrus-setiger,Cenchrus setiger - Birdwood Grass
19,PG_NORTH,Chionachne-cyathopoda,Chionachne cyathopoda - River Grass
20,PG_NORTH,Chloris-barbata,Chloris barbata - Purpletop Rhodes Grass
21,PG_NORTH,Chrysopogon-elongatus,Chrysopogon elongatus - Tall Tamil Grass
22,PG_NORTH,Chrysopogon-fallax,Chrysopogon fallax - Golden Beard Grass
23,PG_NORTH,Chrysopogon-latifolius,Chrysopogon latifolius - Broad-Leaf Ribbon Grass
24,PG_NORTH,Chrysopogon-setifolius,Chrysopogon setifolius - Spiky Grass
25,PG_NORTH,Cymbopogon-bombycinus,Cymbopogon bombycinus - Silky Oilgrass
26,PG_NORTH,Cymbopogon-procerus,Cymbopogon procerus - Lemon Grass
27,PG_NORTH,Cynodon-dactylon,Cynodon dactylon - Couch Grass
28,PG_NORTH,Dichanthium-fecundum,Dichanthium fecundum - Curly Bluegrass
29,PG_NORTH,Dichanthium-sericeum,Dichanthium sericeum - Queensland Bluegrass
30,PG_NORTH,Dinebra-neesii,Dinebra neesii - Swamp Grass
31,PG_NORTH,Enneapogon-glaber,Enneapogon glaber - Hairless Nineawn
32,PG_NORTH,Enneapogon-oblongus,Enneapogon oblongus - Prupe-Head Nineawn
33,PG_NORTH,Enneapogon-polyphyllus,Enneapogon polyphyllus - Limestone Bottlewasher
34,PG_NORTH,Enneapogon-sp.,Enneapogon sp. - Nineawns
35,PG_NORTH,Eragrostis-basedowii,Eragrostis basedowii - Clustered Lovegrass
36,PG_NORTH,Eragrostis-desertorum,Eragrostis desertorum - Desert Lovegrass
37,PG_NORTH,Eragrostis-elongata,Eragrostis elongata - Clustered Lovegrass
38,PG_NORTH,Eragrostis-eriopoda,Eragrostis eriopoda - Wollybutt Grass
39,PG_NORTH,Eragrostis-setifolia,Eragrostis setifolia - Neverfail
40,PG_NORTH,Eragrostis-sp.,Eragrostis sp. - Lovegrass
41,PG_NORTH,Eragrostis-tenellula,Eragrostis tenellula - Delicate Lovegrass
42,PG_NORTH,Eriachne-glauca,Eriachne glauca - Pan Wanderrie
43,PG_NORTH,Eriachne-obtusa,Eriachne obtusa - Northern Wanderrie
44,PG_NORTH,Eriachne-sp.,Eriachne sp. - Wanderrie
45,PG_NORTH,Eulalia-aurea,Eulalia aurea - Silky Browntop
46,PG_NORTH,Heteropogon-contortus,Heteropogon contortus - Black Spear Grass
47,PG_NORTH,Heteropogon-triticeus,Heteropogon triticeus - Giant Spear Grass
48,PG_NORTH,Heteropogon-triticius,Heteropogon triticius - Giant Speargrass
49,PG_NORTH,Hymenachne-acutigluma,Hymenachne acutigluma - Native Hymenachne
50,PG_NORTH,Imperata-cylindrica,Imperata cylindrica - Blady Grass
51,PG_NORTH,Leptochloa-digitata,Leptochloa digitata - Umbrella Cane Grass
52,PG_NORTH,Leptochloa-fusca,Leptochloa fusca - Beetle Grass
53,PG_NORTH,Melinis-repens,Melinis repens - Red Natal Grass
54,PG_NORTH,Mnesithea-formosa,Mnesithea formosa - Silkytop Grass
55,PG_NORTH,Mnesithea-rottboellioides,Mnesithea rottboellioides - Northern Cane Grass
56,PG_NORTH,Ophiuros-exaltatus,Ophiuros exaltatus - Cane Grass
57,PG_NORTH,Oryza-australiensis,Oryza australiensis - Australian Wild Rice
58,PG_NORTH,Panicum-decompositum,Panicum decompositum - Native Millet
59,PG_NORTH,Paspalidium-rarum,Paspalidium rarum - Bunch Paspalidium
60,PG_NORTH,Pennisetum-polystachion,Pennisetum polystachion - Mission Grass
61,PG_NORTH,Perotis-rara,Perotis rara - Comet Grass
62,PG_NORTH,Pseudoraphis-spinescens,Pseudoraphis spinescens - Swamp Grass
63,PG_NORTH,Sehima-nervosum,Sehima nervosum - White Grass
64,PG_NORTH,Sorghum-interjectum,Sorghum interjectum - Perennial Sorghum
65,PG_NORTH,Sorghum-plumosum,Sorghum plumosum - Plume Sorghum
66,PG_NORTH,Sporobolus-actinocladus,Sporobolus actinocladus - Katoora
67,PG_NORTH,Sporobolus-viginicus,Sporobolus viginicus - Marine Couch
68,PG_NORTH,Sporobolus-virginicus,Sporobolus virginicus - Marine Couch
69,PG_NORTH,Themeda-avenacea,Themeda avenacea - Native Oatgrass
70,PG_NORTH,Themeda-triandra,Themeda triandra - Kangaroo Grass
71,PG_NORTH,Triodia-basedowii,Triodia basedowii - Lobed Spinifex
72,PG_NORTH,Triodia-bitextura,Triodia bitextura - Feathertop Spinifex
73,PG_NORTH,Triodia-intermedia,Triodia intermedia - Winged Spinifex
74,PG_NORTH,Triodia-longiceps,Triodia longiceps - Porcupine Spinifex
75,PG_NORTH,Triodia-pungens,Triodia pungens - Soft Spinifex
76,PG_NORTH,Triodia-racemigera,Triodia racemigera - Rock Spinifex
77,PG_NORTH,Triodia-spicata,Triodia spicata - Spike Flowered Spinfex
78,PG_NORTH,Urochloa-humidicola,Urochloa humidicola - Tully Grass
79,PG_NORTH,Urochloa-mosambicensis,Urochloa mosambicensis - Sabi Grass
80,PG_NORTH,Urochloa-mutica,Urochloa mutica - Para Grass
81,PG_NORTH,Xerochloa-imberbis,Xerochloa imberbis - Northern Rice Grass
82,PG_NORTH,other1,Other species 1
83,PG_NORTH,other2,Other species 2
84,PG_NORTH,other3,Other species 3
85,PG_NORTH,other4,Other species 4
